Year,WorldwideBox Office,DomesticBox Office,InternationalBox Office,category,name,winner,nomination count,Nomination ID,Movie ID
2009,316915264.0,120774594.0,196140670.0,WRITING (Original Screenplay),Written by Quentin Tarantino,False,8,967,199
1984,316300000.0,234760478.0,81539522.0,WRITING (Screenplay Written Directly for the Screen),"Screenplay by Daniel Petrie, Jr.;  Story by Danilo Bach, Daniel Petrie, Jr.",False,1,968,200
1997,315268353.0,172956409.0,142311944.0,FILM EDITING,Richard Francis-Bruce,False,2,970,201
1997,315268353.0,172956409.0,142311944.0,SOUND,"Paul Massey, Rick Kline, D. M. Hemphill, Keith A. Wester",False,2,971,201
1997,314111923.0,148478011.0,165633912.0,ACTOR IN A LEADING ROLE,Jack Nicholson,True,7,973,202
1997,314111923.0,148478011.0,165633912.0,ACTOR IN A SUPPORTING ROLE,Greg Kinnear,False,7,974,202
1997,314111923.0,148478011.0,165633912.0,ACTRESS IN A LEADING ROLE,Helen Hunt,True,7,975,202
1997,314111923.0,148478011.0,165633912.0,FILM EDITING,Richard Marks,False,7,976,202
1997,314111923.0,148478011.0,165633912.0,MUSIC (Original Musical or Comedy Score),Hans Zimmer,False,7,977,202
1997,314111923.0,148478011.0,165633912.0,BEST PICTURE,"James L. Brooks, Bridget Johnson and Kristi Zea, Producers",False,7,978,202
1997,314111923.0,148478011.0,165633912.0,WRITING (Screenplay Written Directly for the Screen),"Screenplay by Mark Andrus, James L. Brooks;  Story by Mark Andrus",False,7,979,202
2019,312952178.0,165364060.0,147588118.0,WRITING (Original Screenplay),Written by Rian Johnson,False,1,982,203
2017,312755215.0,132422809.0,180332406.0,MAKEUP AND HAIRSTYLING,Arjen Tuiten,False,1,983,204
2004,312719437.0,188578855.0,124140582.0,MUSIC (Original Song),Music and Lyric by Glen Ballard and Alan Silvestri,False,3,984,205
2004,312719437.0,188578855.0,124140582.0,SOUND EDITING,Randy Thom and Dennis Leonard,False,3,985,205
2004,312719437.0,188578855.0,124140582.0,SOUND MIXING,"Randy Thom, Tom Johnson, Dennis Sands and William B. Kaplan",False,3,986,205
1999,312383487.0,206040085.0,106343402.0,MAKEUP,"Michèle Burke, Mike Smithson",False,1,987,206
2006,307311093.0,162586036.0,144725057.0,ACTOR IN A LEADING ROLE,Will Smith,False,1,1000,207
2002,306770545.0,170687518.0,136083027.0,ACTOR IN A SUPPORTING ROLE,John C. Reilly,False,13,1003,208
2002,306770545.0,170687518.0,136083027.0,ACTRESS IN A LEADING ROLE,Renée Zellweger,False,13,1004,208
2002,306770545.0,170687518.0,136083027.0,ACTRESS IN A SUPPORTING ROLE,Queen Latifah,False,13,1005,208
